timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
2397,9.910411084489937,239.0,6,yaw_cw,-15.6376438141,76.1891479492,-0.998000085354,-0.946871578693,-1.61440250057e-10,-6.09516992434e-10,0.321611851454,7.44380956874e-09,5.72641134511e-09,1.25940778162e-05,-2.46437927842e-08,-9.45099287719e-08,1.04719257355
2398,9.90357815798297,239.0,5,hover,-15.6376438141,76.1891479492,-0.997998058796,-0.960586428642,1.88975751714e-10,-1.46112355548e-09,0.277981549501,6.69709088186e-09,6.09989214695e-09,1.0316697626e-05,4.10453857569e-08,-1.39836089375e-07,0.730619490147
2399,9.885115659725905,239.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997741699219,-0.966575443745,1.8703056881e-09,-1.87074800095e-09,0.256382495165,4.63579530319e-09,6.692183252e-09,0.00122317136265,-1.04815420343e-07,-1.77202608143e-08,0.180949047208
2400,9.932942107033075,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997734069824,-0.966106414795,3.52152795813e-09,-4.46206877003e-10,0.25814422965,1.56485002734e-09,3.66865116064e-09,-0.000507464341354,-6.50878959618e-08,-2.82013168373e-08,-0.22527885437
2401,9.91057500324894,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997796356678,-0.961059272289,-9.57684376246e-10,1.83974724344e-09,0.276342362165,1.88600335349e-09,3.73461844783e-10,-0.000629597168881,7.39724015375e-09,-3.72016017991e-08,-0.49714076519
2402,9.868091483800233,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997854292393,-0.952554523945,2.49636866734e-09,2.38751018955e-09,0.304367959499,5.48755219043e-09,-2.00187999511e-09,-0.000531199504621,-6.74212330409e-08,-2.81413043979e-08,-0.674706161022
2403,9.933271442375098,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997902572155,-0.940384685993,1.79155268398e-09,2.37029618155e-09,0.340112835169,8.38042613083e-09,-1.04370441179e-08,-0.000417678442318,1.32574939471e-07,1.82387452696e-07,-0.797913312912
2404,9.870111777856218,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997940123081,-0.924919009209,1.47278589324e-09,1.48255363541e-09,0.380164146423,1.0641422854e-08,-1.32340653991e-08,-0.000321593892295,4.76718966524e-08,-1.01307406908e-09,-0.88036775589
2405,9.873666716102043,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997968137264,-0.906881988049,6.58053667113e-10,-2.40032160814e-10,0.421384781599,1.33589379558e-08,-1.46467833417e-08,-0.000246183131821,-6.21818116997e-08,-7.32131724135e-08,-0.934222698212
2406,9.927088288825617,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.997989952564,-0.885311186314,8.67721311471e-11,-3.749000832e-10,0.4649990201,1.09367901402e-08,-1.63397064767e-08,-0.000183983080206,-1.21318564084e-07,8.71093988053e-08,-0.971590816975
2407,9.902923440886617,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.998006105423,-0.860846877098,-7.26705140508e-10,-1.00447317131e-09,0.508864223957,8.2274143054e-09,-1.51003742843e-08,-0.000134641901241,-1.98001792739e-08,1.14072449264e-07,-0.99659883976
2408,9.928122196526592,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.998017430305,-0.834469258785,1.88710269633e-09,-2.83857315431e-09,0.551054418087,3.77624553849e-09,-1.25053425393e-08,-9.68735403148e-05,-5.90420192736e-08,-4.7076014198e-08,-1.01293289661
2409,9.923447828782065,240.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.998025774956,-0.804718613625,7.11505576678e-10,-1.45783052297e-10,0.593656480312,-1.36223554659e-09,-1.39013938139e-08,-6.62720558466e-05,1.31267441361e-07,-5.71383260706e-08,-1.0242664814
2410,9.880947220625512,241.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.998031198978,-0.772492706776,-8.58763060663e-10,-8.52743209379e-10,0.635023713112,-3.82279630173e-09,-1.53365586897e-08,-4.23496203439e-05,1.80801876581e-07,8.04848099278e-08,-1.03185141087
2411,9.930449276460338,241.0,4,yaw_ccw,-15.6376438141,76.1891479492,-0.998034477234,-0.738976538181,-2.29905805504e-09,-3.97397625918e-09,0.673731267452,-5.3399236144e-09,-1.01207486836e-08,-2.43251779466e-05,-1.5203647763e-07,9.81785888143e-08,-1.03680551052
2412,9.926876834232699,241.0,8,move_forward,-15.6374750137,76.1874847412,-0.995699584484,-0.703593432903,0.0601395741105,0.0755429938436,0.704011976719,0.0074036330916,-0.0697911977768,0.0184146147221,0.27092269063,-2.48567128181,-0.747246146202
2413,9.914885670317306,241.0,8,move_forward,-15.6358013153,76.1683502197,-0.992045819759,-0.671224474907,0.126102030277,0.139737203717,0.716958582401,0.0230141747743,-0.34090000391,0.0787067338824,-0.174414783716,-1.31086289883,-0.507065713406
2414,9.871017695470346,241.0,8,move_forward,-15.6335878372,76.1151885986,-0.975963234901,-0.650311350822,0.149362817407,0.149011731148,0.729781806469,0.0150586571544,-0.707064509392,0.241609945893,-0.277725458145,0.10147318989,-0.340193361044
2415,9.931248727310612,241.0,8,move_forward,-15.6336164474,76.0238113403,-0.944175958633,-0.640425860882,0.141807883978,0.127107486129,0.744035661221,-0.0203393474221,-1.08365511894,0.365888446569,-0.246334835887,0.550793290138,-0.226750433445
2416,9.926219033103932,241.0,8,move_forward,-15.6382551193,75.8991699219,-0.90578943491,-0.635004878044,0.127937272191,0.103009842336,0.754844307899,-0.0766141489148,-1.4299120903,0.396618694067,-0.17102470994,0.565025150776,-0.152637973428
2417,9.847448395033902,241.0,8,move_forward,-15.6496295929,75.7367782593,-0.866781353951,-0.631661355495,0.112155690789,0.0814386382699,0.762753427029,-0.148045957088,-1.7467815876,0.360240340233,-0.10562312603,0.517292737961,-0.101565659046
2418,9.891176643988256,241.0,8,move_forward,-15.6685943604,75.5444869995,-0.833666920662,-0.629644334316,0.0965232104063,0.0635214820504,0.768242418766,-0.224114179611,-2.01498317719,0.285574823618,-0.0566830001771,0.457813948393,-0.0676584914327
2419,9.927017802960375,241.0,8,move_forward,-15.6943788528,75.3340377808,-0.809694588184,-0.628454267979,0.0820986330509,0.0492793172598,0.771930515766,-0.296190500259,-2.22872376442,0.198204755783,-0.0207143146545,0.401042312384,-0.0456809662282
2420,9.93922676808967,242.0,8,move_forward,-15.7281265259,75.0973510742,-0.794193804264,-0.627724289894,0.0681185424328,0.0374112352729,0.77454662323,-0.364316314459,-2.4048075676,0.106900893152,0.00468485569581,0.346103817225,-0.0305423662066
2421,9.931836640943006,242.0,8,move_forward,-15.7684001923,74.8447647095,-0.787638366222,-0.627273261547,0.0555453337729,0.0279843173921,0.77631175518,-0.423886597157,-2.54174280167,0.0239989478141,0.0212577730417,0.291656434536,-0.0204652696848
2422,9.905776770110057,242.0,8,move_forward,-15.8128557205,74.5878601074,-0.788724243641,-0.626991510391,0.044781152159,0.0208265259862,0.777459025383,-0.472709149122,-2.64321327209,-0.0432148389518,0.02921942994,0.242893487215,-0.0139062488452
